station_id_aq,longitude,latitude,D1,D2,D3,api_key
dongsi_aq,116.417,39.929,1,NA,NA,7b82dddbe703d0540bf205be4a868d0d
tiantan_aq,116.407,39.886,2,NA,NA,c4530e3afccfa4ea8e97ed3813a90d9b
guanyuan_aq,116.339,39.929,3,NA,NA,8ce67c71c6d067fe673af36d93c0427b
wanshouxigong_aq,116.352,39.878,4,NA,NA,dd4e6823a927e1d7e38784e4701423f8
aotizhongxin_aq,116.397,39.982,5,NA,NA,77af6ae08cf9d6d3a108c10fc432de8b
nongzhanguan_aq,116.461,39.937,6,NA,NA,9f48e5e5526cdcdb5f89d97c86750022
wanliu_aq,116.287,39.987,7,NA,NA,7402ea701933e22516afb3180944e759
beibuxinqu_aq,116.174,40.09,8,NA,NA,76e81e0fb5a26bf3ccfda67100e9836b
zhiwuyuan_aq,116.207,40.002,9,NA,NA,87a7baf29aa10d6a3438a9cd4c048b12
fengtaihuayuan_aq,116.279,39.863,10,NA,NA,2199a997565e9b33fb65bc2b3b3dece3
yungang_aq,116.146,39.824,1,NA,NA,7b82dddbe703d0540bf205be4a868d0d
gucheng_aq,116.184,39.914,2,NA,NA,c4530e3afccfa4ea8e97ed3813a90d9b
fangshan_aq,116.136,39.742,3,NA,NA,8ce67c71c6d067fe673af36d93c0427b
daxing_aq,116.404,39.718,4,NA,NA,dd4e6823a927e1d7e38784e4701423f8
yizhuang_aq,116.506,39.795,5,NA,NA,77af6ae08cf9d6d3a108c10fc432de8b
tongzhou_aq,116.663,39.886,6,NA,NA,9f48e5e5526cdcdb5f89d97c86750022
shunyi_aq,116.655,40.127,7,NA,NA,7402ea701933e22516afb3180944e759
pingchang_aq,116.23,40.217,8,NA,NA,76e81e0fb5a26bf3ccfda67100e9836b
mentougou_aq,116.106,39.937,9,NA,NA,87a7baf29aa10d6a3438a9cd4c048b12
pinggu_aq,117.1,40.143,10,NA,NA,2199a997565e9b33fb65bc2b3b3dece3
huairou_aq,116.628,40.328,NA,1,NA,7b82dddbe703d0540bf205be4a868d0d
miyun_aq,116.832,40.37,NA,2,NA,c4530e3afccfa4ea8e97ed3813a90d9b
yanqin_aq,115.972,40.453,NA,3,NA,8ce67c71c6d067fe673af36d93c0427b
dingling_aq,116.22,40.292,NA,4,NA,dd4e6823a927e1d7e38784e4701423f8
badaling_aq,115.988,40.365,NA,5,NA,77af6ae08cf9d6d3a108c10fc432de8b
miyunshuiku_aq,116.911,40.499,NA,6,NA,9f48e5e5526cdcdb5f89d97c86750022
donggaocun_aq,117.12,40.1,NA,7,NA,7402ea701933e22516afb3180944e759
yongledian_aq,116.783,39.712,NA,8,NA,76e81e0fb5a26bf3ccfda67100e9836b
